抓取日期,公告日,股票代码,股票名称,股东名称,变动方向,变动数量_股,变动数量_万股,占总股本比例,占流通股比例,最新价,变动截止日
2026-07-28,2026-07-28 00:00:00,603226,菲林格尔,ASIA PACIFIC GROUP INTERNATIONAL LIMITED,,0,0.0,,,45.55,2026-07-27 00:00:00
2026-07-28,2026-07-28 00:00:00,603158,腾龙股份,腾龙科技集团有限公司,,0,0.0,,,8.94,2026-07-27 00:00:00
2026-07-28,2026-07-28 00:00:00,600202,哈空调,哈尔滨电碳厂有限责任公司,,0,0.0,,,4.45,2026-07-27 00:00:00
2026-07-28,2026-07-28 00:00:00,603231,索宝蛋白,山东万得福实业集团有限公司,,0,0.0,,,14.35,2026-07-27 00:00:00
2026-07-28,2026-07-28 00:00:00,2264,新华都,新华都科技股份有限公司“领航员计划(五期)”员工持股计划,,0,0.0,,,6.27,2026-07-27 00:00:00
2026-07-28,2026-07-27 00:00:00,920634,新威凌,长沙新威凌企业管理合伙企业(有限合伙),,0,0.0,,,15.92,2026-07-27 00:00:00
2026-07-28,2026-07-27 00:00:00,301633,港迪技术,深圳市松禾成长股权投资合伙企业(有限合伙),,0,0.0,,,56.5,2026-07-24 00:00:00
2026-07-28,2026-07-27 00:00:00,300491,通合科技,任献伟,,0,0.0,,,24.69,2026-06-22 00:00:00
2026-07-28,2026-07-27 00:00:00,301273,瑞晨环保,上海馨璞投资管理合伙企业(有限合伙),,0,0.0,,,39.4,2026-07-24 00:00:00
2026-07-28,2026-07-27 00:00:00,301439,泓淋电力,威海市明博线缆科技有限公司,,0,0.0,,,13.82,2026-07-24 00:00:00
